stage,keyword,word_count,rank_order
before_lottery_filter,进步,330,1
before_lottery_filter,无限,327,2
before_lottery_filter,中中,249,3
before_lottery_filter,抽中,174,4
before_lottery_filter,可莉,150,5
before_lottery_filter,oi,109,6
before_lottery_filter,中奖,18,7
before_lottery_filter,手机,11,8
before_lottery_filter,tim,9,9
before_lottery_filter,好看,9,10
before_lottery_filter,相机,9,11
before_lottery_filter,原神,9,12
before_lottery_filter,需要,7,13
before_lottery_filter,我要,7,14
before_lottery_filter,一台,6,15
before_lottery_filter,哈哈哈哈,6,16
before_lottery_filter,功能,5,17
before_lottery_filter,代代,5,18
before_lottery_filter,想要,5,19
before_lottery_filter,华为,4,20
before_lottery_filter,pro,4,21
before_lottery_filter,蓝色,4,22
before_lottery_filter,觉得,4,23
before_lottery_filter,知道,4,24
before_lottery_filter,抽抽,4,25
before_lottery_filter,按钮,4,26
before_lottery_filter,喜欢,4,27
before_lottery_filter,抽到,4,28
before_lottery_filter,一次,4,29
before_lottery_filter,专业,3,30
after_lottery_filter,oi,109,1
after_lottery_filter,手机,9,2
after_lottery_filter,tim,9,3
after_lottery_filter,好看,9,4
after_lottery_filter,相机,9,5
after_lottery_filter,原神,9,6
after_lottery_filter,需要,7,7
after_lottery_filter,哈哈哈哈,6,8
after_lottery_filter,功能,5,9
after_lottery_filter,代代,5,10
after_lottery_filter,华为,4,11
after_lottery_filter,蓝色,4,12
after_lottery_filter,觉得,4,13
after_lottery_filter,知道,4,14
after_lottery_filter,按钮,4,15
after_lottery_filter,喜欢,4,16
after_lottery_filter,专业,3,17
after_lottery_filter,pro,3,18
after_lottery_filter,ai,3,19
after_lottery_filter,bgm,3,20
after_lottery_filter,太牛,3,21
after_lottery_filter,注意,3,22
after_lottery_filter,原来,3,23
after_lottery_filter,进步,3,24
after_lottery_filter,光学,3,25
after_lottery_filter,正好,3,26
after_lottery_filter,质感,3,27
after_lottery_filter,可爱,3,28
after_lottery_filter,这段,3,29
after_lottery_filter,无敌,3,30
